,Time,U2,RF2
0,0.0,0.0,0.0
1,0.0046,2.61016e-06,0.0004891300000000001
2,0.0265375,1.5058e-05,0.0028218
3,0.137596,7.80755e-05,0.0146309
4,0.69983,0.00039710099999999996,0.0744138
5,3.54614,0.0020121699999999998,0.377044
6,17.9556,0.0101884,1.908616
7,49.9556,0.028346,5.30578
8,81.9556,0.0465036,8.59366
9,113.956,0.0646612,11.3953
10,145.956,0.0828188,12.426039999999999
11,177.956,0.100976,13.0087
12,209.956,0.119134,13.46154
13,241.956,0.137292,13.83876
14,273.956,0.155449,14.164579999999999
15,305.956,0.173607,14.452
16,337.956,0.191764,14.70934
17,369.956,0.209922,14.94258
18,401.956,0.22808,15.15598
19,433.956,0.24623699999999998,15.3525
20,465.956,0.264395,15.534679999999998
21,497.956,0.282552,15.704260000000001
22,529.956,0.30071,15.86232
23,561.956,0.31886800000000004,16.00796
24,593.956,0.337025,16.144379999999998
25,625.956,0.35518299999999997,16.27318
26,657.956,0.37334,16.39516
27,689.956,0.391498,16.51118
28,721.956,0.409656,16.621579999999998
29,753.956,0.427813,16.72704
30,785.956,0.445971,16.827939999999998
31,800.0,0.45393999999999995,16.87084
