,Time,U2,RF2
0,0.0,0.0,0.0
1,0.0046,2.61016e-06,0.0004891300000000001
2,0.0265375,1.5058e-05,0.0028218
3,0.137596,7.80755e-05,0.0146309
4,0.69983,0.00039710099999999996,0.0744138
5,3.54614,0.0020121699999999998,0.377044
6,17.9556,0.0101884,1.908616
7,49.9556,0.028346,5.30576
8,81.9556,0.0465036,8.59338
9,113.956,0.0646612,11.393880000000001
10,145.956,0.0828188,12.42324
11,177.956,0.100976,13.004380000000001
12,209.956,0.119134,13.4558
13,241.956,0.137292,13.831779999999998
14,273.956,0.155449,14.156460000000001
15,305.956,0.173607,14.442860000000001
16,337.956,0.191764,14.699320000000002
17,369.956,0.209922,14.9318
18,401.956,0.22808,15.14456
19,433.956,0.24623699999999998,15.340520000000001
20,465.956,0.264395,15.522260000000001
21,497.956,0.282552,15.691479999999999
22,529.956,0.30071,15.84944
23,561.956,0.31886800000000004,15.995479999999999
24,593.956,0.337025,16.1319
25,625.956,0.35518299999999997,16.26064
26,657.956,0.37334,16.38254
27,689.956,0.391498,16.49846
28,721.956,0.409656,16.60882
29,753.956,0.427813,16.71422
30,785.956,0.445971,16.81506
31,800.0,0.45393999999999995,16.85794
