Time[s],Displacement[mm],Force[kN],AxStrain_1,AxStrain_2,Thickness[mm],OuterWidth[mm],InnerWidth[mm]
0,0,-0.029384,0,0,1.4945,19.959,10.065
0.5,0.000252,0.0035403,4.9999e-05,0,0,0,0
1,-9.3e-05,0.036988,5.0999e-05,0,0,0,0
1.5,0.000432,0.072496,7.3997e-05,0,0,0,0
2,-5.9e-05,0.10483,-3e-05,0,0,0,0
2.5,0.000148,0.13287,0.00023697,0,0,0,0
3,2.4e-05,0.15864,-2.5e-05,0,0,0,0
3.5,0.000312,0.18314,9.5995e-05,0,0,0,0
4,0.00047,0.20581,0.00028596,0,0,0,0
4.5,0.000602,0.22896,-0.00019802,0,0,0,0
5,0.000452,0.25231,0.00014199,0,0,0,0
5.5,0.000687,0.27427,9.3996e-05,0,0,0,0
6,0.000562,0.29386,5.9998e-05,0,0,0,0
6.5,0.000827,0.31495,8.8996e-05,0,0,0,0
7,0.000781,0.33807,9.3996e-05,0,0,0,0
7.5,0.00081,0.3604,0.00014699,0,0,0,0
8,0.00102,0.38137,-3.8001e-05,0,0,0,0
8.5,0.001229,0.40198,0.00014799,0,0,0,0
9,0.001147,0.42352,3.3999e-05,0,0,0,0
9.5,0.001281,0.4438,0.00015299,0,0,0,0
10,0.001735,0.46522,0.00016999,0,0,0,0
10.5,0.001595,0.48651,0.00019298,0,0,0,0
11,0.001629,0.50772,0.00012899,0,0,0,0
11.5,0.001712,0.52764,0.00016499,0,0,0,0
12,0.001785,0.54734,0.00021598,0,0,0,0
12.5,0.001531,0.56672,0.00021598,0,0,0,0
13,0.001778,0.58664,-0.00014901,0,0,0,0
13.5,0.001869,0.6068,0.00028096,0,0,0,0
14,0.001704,0.62617,0.00013199,0,0,0,0
14.5,0.001626,0.64647,1e-05,0,0,0,0
15,0.001829,0.66664,0.00010099,0,0,0,0
15.5,0.001765,0.68657,3e-05,0,0,0,0
16,0.001805,0.70627,0.00012899,0,0,0,0
16.5,0.001927,0.72644,6.7998e-05,0,0,0,0
17,0.002137,0.74672,8.4996e-05,0,0,0,0
17.5,0.00215,0.76675,-2.7e-05,0,0,0,0
18,0.002204,0.78544,0.00029696,0,0,0,0
18.5,0.002323,0.8038,0.00018898,0,0,0,0
19,0.002427,0.82397,0.00019898,0,0,0,0
19.5,0.00235,0.84458,0.00031095,0,0,0,0
20,0.002796,0.86383,0.00017898,0,0,0,0
20.5,0.002468,0.88309,0.00035494,0,0,0,0
21,0.002894,0.90029,0.00023297,0,0,0,0
21.5,0.002853,0.91877,0.00030795,0,0,0,0
22,0.003296,0.93879,0.00021298,0,0,0,0
22.5,0.003273,0.95999,8.4996e-05,0,0,0,0
23,0.003401,0.97753,0.00016199,0,0,0,0
23.5,0.003465,0.99474,0.00041891,0,0,0,0
24,0.003536,1.0133,0.00034794,0,0,0,0
24.5,0.003526,1.0329,0.00020598,0,0,0,0
25,0.003577,1.0508,0.00011799,0,0,0,0
25.5,0.003331,1.0682,0.00039892,0,0,0,0
26,0.0033,1.0875,0.00035794,0,0,0,0
26.5,0.003446,1.1099,0.00012199,0,0,0,0
27,0.00375,1.13,0.00035794,0,0,0,0
27.5,0.003591,1.1475,0.00024297,0,0,0,0
28,0.003622,1.164,0.00027396,0,0,0,0
28.5,0.003912,1.1826,0.00021598,0,0,0,0
29,0.003973,1.2001,0.00038892,0,0,0,0
29.5,0.004183,1.218,0.00029696,0,0,0,0
30,0.003913,1.2352,0.00020298,0,0,0,0
30.5,0.004325,1.2522,0.00020298,0,0,0,0
31,0.00444,1.2689,0.00040192,0,0,0,0
31.5,0.004535,1.2868,0.00041591,0,0,0,0
32,0.004833,1.3038,0.00014199,0,0,0,0
32.5,0.005336,1.3224,0.00026996,0,0,0,0
33,0.00511,1.3412,0.00030395,0,0,0,0
33.5,0.005222,1.3586,1.4e-05,0,0,0,0
34,0.005347,1.3745,0.00045989,0,0,0,0
34.5,0.00555,1.3939,0.00024697,0,0,0,0
35,0.005584,1.4111,0.00017898,0,0,0,0
35.5,0.00529,1.4248,0.00022597,0,0,0,0
36,0.005919,1.4391,5.6998e-05,0,0,0,0
36.5,0.005148,1.4566,0.00020298,0,0,0,0
37,0.00479,1.4741,0.0004429,0,0,0,0
37.5,0.005504,1.4917,0.00016199,0,0,0,0
38,0.005078,1.509,0.00025397,0,0,0,0
38.5,0.00523,1.5247,0.00014499,0,0,0,0
39,0.005328,1.5401,0.00026996,0,0,0,0
39.5,0.005666,1.5568,0.00014899,0,0,0,0
40,0.005826,1.5748,0.00020998,0,0,0,0
40.5,0.005981,1.5932,0.00036793,0,0,0,0
41,0.006204,1.6095,0.00038892,0,0,0,0
41.5,0.006407,1.625,0.00029096,0,0,0,0
42,0.006492,1.6399,6.0998e-05,0,0,0,0
42.5,0.006922,1.6561,0.00029396,0,0,0,0
43,0.007013,1.6726,0.00017598,0,0,0,0
43.5,0.006966,1.6895,0.00021598,0,0,0,0
44,0.007271,1.7057,0.00034094,0,0,0,0
44.5,0.007271,1.7226,0.00030795,0,0,0,0
45,0.006936,1.7389,0.00034794,0,0,0,0
45.5,0.007065,1.7541,0.00014499,0,0,0,0
46,0.007042,1.7679,0.00048288,0,0,0,0
46.5,0.00688,1.7824,0.00036493,0,0,0,0
47,0.006853,1.7979,0.00033494,0,0,0,0
47.5,0.006911,1.8142,0.00037493,0,0,0,0
48,0.006745,1.8299,0.00025397,0,0,0,0
48.5,0.006823,1.8459,0.00058483,0,0,0,0
49,0.007256,1.8619,5.0999e-05,0,0,0,0
49.5,0.007324,1.8779,0.00053686,0,0,0,0
50,0.007243,1.8934,0.00032795,0,0,0,0
50.5,0.007443,1.9116,0.00022997,0,0,0,0
51,0.007545,1.9289,0.00053086,0,0,0,0
51.5,0.00768,1.9441,0.00051687,0,0,0,0
52,0.00833,1.9587,0.00029396,0,0,0,0
52.5,0.00812,1.9743,0.00019598,0,0,0,0
53,0.008516,1.9895,0.00041591,0,0,0,0
53.5,0.008824,2.0051,0.00059782,0,0,0,0
54,0.008787,2.0209,0.00015899,0,0,0,0
54.5,0.009153,2.0348,0.00046989,0,0,0,0
55,0.009099,2.0506,0.0004559,0,0,0,0
55.5,0.009012,2.0675,0.00036793,0,0,0,0
56,0.008674,2.084,0.00052386,0,0,0,0
56.5,0.008505,2.0995,0.00016899,0,0,0,0
57,0.008357,2.1143,0.00048388,0,0,0,0
57.5,0.008557,2.1276,0.00041291,0,0,0,0
58,0.00874,2.1427,0.00035194,0,0,0,0
58.5,0.008761,2.1597,0.00056784,0,0,0,0
59,0.00868,2.1759,0.00065578,0,0,0,0
59.5,0.008762,2.1915,0.00022997,0,0,0,0
60,0.008785,2.2065,0.00058183,0,0,0,0
60.5,0.00903,2.2204,0.00025697,0,0,0,0
61,0.009287,2.2339,0.00042291,0,0,0,0
61.5,0.009385,2.2483,0.00053386,0,0,0,0
62,0.009467,2.2644,0.00031395,0,0,0,0
62.5,0.009822,2.2813,0.00061881,0,0,0,0
63,0.010141,2.2974,0.00054785,0,0,0,0
63.5,0.010365,2.3116,0.00055784,0,0,0,0
64,0.010788,2.3265,0.0004569,0,0,0,0
64.5,0.010781,2.3415,0.0004359,0,0,0,0
65,0.010714,2.3562,0.00047988,0,0,0,0
65.5,0.010576,2.37,0.00048988,0,0,0,0
66,0.010749,2.3838,0.0004459,0,0,0,0
66.5,0.010351,2.3987,0.00041591,0,0,0,0
67,0.010345,2.4146,0.00030095,0,0,0,0
67.5,0.010092,2.4308,0.00058183,0,0,0,0
68,0.010305,2.4445,0.00041891,0,0,0,0
68.5,0.010309,2.4579,0.00046989,0,0,0,0
69,0.010154,2.4728,0.00064879,0,0,0,0
69.5,0.01025,2.4886,0.00067977,0,0,0,0
70,0.010419,2.5025,0.00048688,0,0,0,0
70.5,0.010585,2.5154,0.00054085,0,0,0,0
71,0.010691,2.5292,0.00050387,0,0,0,0
71.5,0.010698,2.5433,0.00049688,0,0,0,0
72,0.011145,2.5572,0.0004569,0,0,0,0
72.5,0.011206,2.5713,0.00053086,0,0,0,0
73,0.011724,2.5866,0.00066578,0,0,0,0
73.5,0.012131,2.6013,0.00064279,0,0,0,0
74,0.012638,2.6169,0.00064279,0,0,0,0
74.5,0.012412,2.6324,0.00064279,0,0,0,0
75,0.012578,2.646,0.0006258,0,0,0,0
75.5,0.012711,2.6585,0.00078469,0,0,0,0
76,0.012485,2.6731,0.00067277,0,0,0,0
76.5,0.012557,2.689,0.00065578,0,0,0,0
77,0.012537,2.7039,0.00059482,0,0,0,0
77.5,0.012304,2.7191,0.00057883,0,0,0,0
78,0.012471,2.7338,0.00054485,0,0,0,0
78.5,0.012005,2.7485,0.0004359,0,0,0,0
79,0.012202,2.7613,0.00070275,0,0,0,0
79.5,0.011891,2.7722,0.00060881,0,0,0,0
80,0.012118,2.785,0.0006328,0,0,0,0
80.5,0.012356,2.7991,0.00070975,0,0,0,0
81,0.01235,2.8133,0.00062181,0,0,0,0
81.5,0.01256,2.8265,0.00070375,0,0,0,0
82,0.012889,2.8428,0.0006388,0,0,0,0
82.5,0.013136,2.8586,0.00066578,0,0,0,0
83,0.013177,2.8742,0.00061581,0,0,0,0
83.5,0.013615,2.8877,0.00066578,0,0,0,0
84,0.013777,2.9007,0.00067977,0,0,0,0
84.5,0.014143,2.9134,0.00084564,0,0,0,0
85,0.014316,2.9278,0.00070375,0,0,0,0
85.5,0.01454,2.9414,0.00066278,0,0,0,0
86,0.014851,2.9537,0.0006258,0,0,0,0
86.5,0.014595,2.9669,0.00060881,0,0,0,0
87,0.014529,2.9812,0.00076071,0,0,0,0
87.5,0.014648,2.9952,0.0006398,0,0,0,0
88,0.014574,3.0087,0.00064579,0,0,0,0
88.5,0.01468,3.0224,0.00069976,0,0,0,0
89,0.014515,3.0369,0.00076071,0,0,0,0
89.5,0.014377,3.051,0.00067977,0,0,0,0
90,0.014236,3.0659,0.00070075,0,0,0,0
90.5,0.014166,3.0792,0.00055185,0,0,0,0
91,0.01416,3.0928,0.00081467,0,0,0,0
91.5,0.014427,3.105,0.0004539,0,0,0,0
92,0.01436,3.1182,0.0004499,0,0,0,0
92.5,0.014682,3.1312,0.00047089,0,0,0,0
93,0.014477,3.145,0.00053486,0,0,0,0
93.5,0.014728,3.1592,0.00059882,0,0,0,0
94,0.015381,3.1732,0.00081167,0,0,0,0
94.5,0.01569,3.1871,0.00052086,0,0,0,0
95,0.015927,3.1987,0.00048088,0,0,0,0
95.5,0.016249,3.212,0.00047089,0,0,0,0
96,0.01677,3.2258,0.00043391,0,0,0,0
96.5,0.016362,3.2397,0.00041991,0,0,0,0
97,0.017117,3.2522,0.00069376,0,0,0,0
97.5,0.016702,3.2661,0.00070675,0,0,0,0
98,0.016764,3.2805,0.00082566,0,0,0,0
98.5,0.016792,3.2945,0.00068077,0,0,0,0
99,0.016699,3.3083,0.00058583,0,0,0,0
99.5,0.017057,3.3222,0.0006268,0,0,0,0
100,0.016507,3.336,0.00074172,0,0,0,0
100.5,0.016241,3.3484,0.00052486,0,0,0,0
101,0.016424,3.3616,0.00070375,0,0,0,0
101.5,0.016108,3.3756,0.00048788,0,0,0,0
102,0.016433,3.3901,0.00066378,0,0,0,0
102.5,0.016404,3.4031,0.00066778,0,0,0,0
103,0.016685,3.416,0.00053586,0,0,0,0
103.5,0.016371,3.429,0.00067677,0,0,0,0
104,0.016487,3.4424,0.0006268,0,0,0,0
104.5,0.017107,3.4565,0.00060981,0,0,0,0
105,0.01724,3.4695,0.00055585,0,0,0,0
105.5,0.017586,3.4817,0.00060282,0,0,0,0
106,0.017931,3.4948,0.00075472,0,0,0,0
106.5,0.018031,3.5088,0.00061681,0,0,0,0
107,0.018298,3.5226,0.00074472,0,0,0,0
107.5,0.018438,3.5356,0.00095454,0,0,0,0
108,0.018737,3.5495,0.00080568,0,0,0,0
108.5,0.018694,3.5632,0.00081367,0,0,0,0
109,0.019091,3.5764,0.00091458,0,0,0,0
109.5,0.018601,3.5885,0.00047489,0,0,0,0
110,0.018684,3.6015,0.0007797,0,0,0,0
110.5,0.01862,3.6155,0.00067777,0,0,0,0
111,0.018645,3.6286,0.00050887,0,0,0,0
111.5,0.018998,3.6419,0.00091358,0,0,0,0
112,0.018789,3.6551,0.00081267,0,0,0,0
112.5,0.018487,3.6688,0.0007797,0,0,0,0
113,0.018352,3.6806,0.00074572,0,0,0,0
113.5,0.018319,3.6941,0.00074472,0,0,0,0
114,0.018321,3.7082,0.00057683,0,0,0,0
114.5,0.01849,3.7228,0.00074572,0,0,0,0
115,0.018661,3.7348,0.0007797,0,0,0,0
115.5,0.018662,3.7466,0.00088061,0,0,0,0
116,0.019069,3.7587,0.00074572,0,0,0,0
116.5,0.019542,3.771,0.00071175,0,0,0,0
117,0.019612,3.7842,0.00081267,0,0,0,0
117.5,0.019951,3.798,0.00098152,0,0,0,0
118,0.020053,3.8127,0.00094755,0,0,0,0
118.5,0.02019,3.8256,0.00084664,0,0,0,0
119,0.020327,3.8379,0.0007797,0,0,0,0
119.5,0.020631,3.8501,0.00084664,0,0,0,0
120,0.020668,3.8639,0.0011843,0,0,0,0
120.5,0.020836,3.8779,0.00098252,0,0,0,0
121,0.020737,3.8906,0.00057683,0,0,0,0
121.5,0.020772,3.904,0.00091458,0,0,0,0
122,0.02084,3.9171,0.00091458,0,0,0,0
122.5,0.020504,3.931,0.00074572,0,0,0,0
123,0.02037,3.9421,0.00084664,0,0,0,0
123.5,0.020372,3.9534,0.0010834,0,0,0,0
124,0.020271,3.9643,0.00091458,0,0,0,0
124.5,0.020171,3.9773,0.00081367,0,0,0,0
125,0.020308,3.9905,0.00081267,0,0,0,0
125.5,0.020309,4.0038,0.00061081,0,0,0,0
126,0.020716,4.0181,0.00091458,0,0,0,0
126.5,0.020751,4.0326,0.00088061,0,0,0,0
127,0.020989,4.0455,0.00091458,0,0,0,0
127.5,0.021295,4.0582,0.00084664,0,0,0,0
128,0.021634,4.0721,0.00098252,0,0,0,0
128.5,0.021906,4.0852,0.00081367,0,0,0,0
129,0.022177,4.0955,0.00088061,0,0,0,0
129.5,0.021976,4.1075,0.00084664,0,0,0,0
130,0.02245,4.1218,0.00084764,0,0,0,0
130.5,0.02252,4.1351,0.0010155,0,0,0,0
131,0.022589,4.1474,0.00088161,0,0,0,0
131.5,0.022725,4.161,0.0011174,0,0,0,0
132,0.02276,4.1746,0.00094855,0,0,0,0
132.5,0.02283,4.1874,0.0010834,0,0,0,0
133,0.022694,4.1993,0.00094855,0,0,0,0
133.5,0.022697,4.2108,0.00094955,0,0,0,0
134,0.022597,4.2218,0.0007807,0,0,0,0
134.5,0.022564,4.2351,0.00084764,0,0,0,0
135,0.022363,4.2495,0.00084764,0,0,0,0
135.5,0.02223,4.262,0.0010165,0,0,0,0
