,Time,U2,RF2,Time,U2_ext,Strain_eng,Strain_ext
0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1,0.001543,2.3462e-07,4.4019999999999995e-05,0.001543,7.32057e-09,1.464114e-08,1.46411399709162e-08
2,0.00443613,6.74532e-07,0.0001265576,0.00443613,2.10466e-08,4.20932e-08,4.2093199150755995e-08
3,0.0109457,1.664336e-06,0.00031226759999999996,0.0109457,5.19303e-08,1.038606e-07,1.0386059450468612e-07
4,0.0255921,3.8914e-06,0.000730116,0.0255921,1.21419e-07,2.42838e-07,2.4283797044571373e-07
5,0.0585466,8.90228e-06,0.001670272,0.0585466,2.77767e-07,5.55534e-07,5.555338456040828e-07
6,0.132694,2.01768e-05,0.0037856200000000004,0.132694,6.29552e-07,1.259104e-06,1.2591032072802186e-06
7,0.299526,4.55444e-05,0.00854516,0.299526,1.42107e-06,2.84214e-06,2.842135961142244e-06
8,0.674899,0.0001026214,0.01925404,0.674899,3.20198e-06,6.40396e-06,6.403939494803301e-06
9,1.51949,0.000231044,0.0433488,1.51949,7.20906e-06,1.441812e-05,1.441801605982185e-05
10,3.41981,0.000519998,0.0975616,3.41981,1.62251e-05,3.24502e-05,3.244967350362811e-05
11,7.69554,0.00117014,0.2195368,7.69554,3.65117e-05,7.30234e-05,7.302073392124366e-05
12,17.3159,0.01590444,2.98246,17.3159,0.000496457,0.000992914,0.0009924213869489434
13,32.7459,0.0395798,7.3597600000000005,32.7459,0.0014127,0.0028254,0.002821416059805644
14,48.1759,0.063255,10.98212,48.1759,0.00350055,0.0070011,0.00697670608935404
15,63.6059,0.0869304,12.000440000000001,63.6059,0.00628156,0.01256312,0.01248485879619471
16,79.0359,0.1106056,12.60716,79.0359,0.00897349,0.01794698,0.01778783425725502
17,94.4659,0.1342808,13.07428,94.4659,0.0116391,0.0232782,0.023011395258122
18,109.896,0.1579562,13.45988,109.896,0.0143185,0.028637,0.028234624934751453
19,125.326,0.1816314,13.789280000000002,125.326,0.0170283,0.0340566,0.0334895134662628
20,140.756,0.205306,14.07748,140.756,0.0197796,0.0395592,0.03879677715126533
21,156.186,0.228982,14.33396,156.186,0.0225773,0.0451546,0.044164817058081604
22,171.616,0.252658,14.56496,171.616,0.0254237,0.0508474,0.04959688630066102
23,187.046,0.276332,14.77488,187.046,0.0283195,0.056639,0.05509311591300015
24,202.476,0.300008,14.965399999999999,202.476,0.0312354,0.0624708,0.060597139085846935
25,217.906,0.323684,15.138,217.906,0.0341418,0.0682836,0.066053248358843
26,233.336,0.347358,15.29772,233.336,0.0370862,0.0741724,0.07155050461975906
27,248.766,0.371034,15.44652,248.766,0.0400758,0.0801516,0.0771014016555001
28,264.196,0.39471,15.586,264.196,0.0431192,0.0862384,0.08272071859913263
29,279.626,0.418384,15.71708,279.626,0.0462183,0.0924366,0.0884106142670712
30,295.056,0.44206,15.84084,295.056,0.0493806,0.0987612,0.09418336336689005
31,310.486,0.465734,15.957799999999999,310.486,0.0526046,0.1052092,0.10003463831767499
32,325.916,0.48941,16.06868,325.916,0.0558951,0.1117902,0.10597150896339545
33,341.346,0.513086,16.173959999999997,341.346,0.0592574,0.1185148,0.11200173386765747
34,356.776,0.53676,16.27412,356.776,0.0626935,0.125387,0.11812697650194907
35,372.206,0.560436,16.36944,372.206,0.066205,0.13241,0.12434810501845292
36,387.636,0.584112,16.46032,387.636,0.0697962,0.1395924,0.1306706546127092
37,403.066,0.607786,16.547040000000003,403.066,0.0734703,0.1469406,0.1370980495350845
38,418.496,0.631462,16.62984,418.496,0.0772326,0.1544652,0.1436372064390935
39,433.926,0.655138,16.709,433.926,0.0810866,0.1621732,0.15029170067865397
40,449.356,0.678812,16.78472,449.356,0.085036,0.170072,0.15706528537778977
41,464.786,0.702488,16.85712,464.786,0.0890848,0.1781696,0.163962047701615
42,480.216,0.726164,16.92636,480.216,0.0932374,0.1864748,0.1709865577300787
43,495.646,0.749838,16.9926,495.646,0.0974987,0.1949974,0.1781440096488896
44,511.076,0.773514,17.05596,511.076,0.101874,0.203748,0.18544002265425935
45,526.506,0.79719,17.1166,526.506,0.106368,0.212736,0.19287896406501226
46,541.936,0.820864,17.17452,541.936,0.110988,0.221976,0.20046922062200392
47,557.366,0.84454,17.22992,557.366,0.115741,0.231482,0.20821832215007696
48,572.796,0.868214,17.282799999999998,572.796,0.120634,0.241268,0.21613343778267344
49,588.226,0.89189,17.33324,588.226,0.125675,0.25135,0.22422296853377388
50,603.656,0.915566,17.38132,603.656,0.130872,0.261744,0.23249489092674988
51,619.086,0.93924,17.42704,619.086,0.136235,0.27247,0.24095989352612415
52,634.516,0.962916,17.47048,634.516,0.141774,0.283548,0.24962811837033327
53,649.946,0.986592,17.511599999999998,649.946,0.147499,0.294998,0.2585091507487641
54,665.376,1.010266,17.55052,665.376,0.153422,0.306844,0.2676150702116252
55,680.806,1.033942,17.58712,680.806,0.159555,0.31911,0.27695726677039123
56,696.236,1.057618,17.62148,696.236,0.165911,0.331822,0.2865479295547942
57,711.666,1.081292,17.65352,711.666,0.172504,0.345008,0.29639996099150373
58,727.096,1.104968,17.68324,727.096,0.179346,0.358692,0.3065224722496481
59,742.526,1.128644,17.710720000000002,742.526,0.186441,0.372882,0.3169121799024117
60,757.956,1.152318,17.73564,757.956,0.193821,0.387642,0.3276059037441747
61,771.5,1.1731,17.75536,771.5,0.200543,0.401086,0.33724765019610115
