,Time,S11,S22,S33,S12,S13,S23,LE11,LE22,LE33,LE12,LE13,LE23,SDV_EPBAR,E11,E12,E13,E22,E23,E33
0,0.000309,0.0019383,0.000139163,-7.79048e-12,0.000519365,9.3624e-20,3.36396e-20,9.1292e-09,-2.12864e-09,-3.00057e-09,6.49972e-09,9.45271e-25,4.67314e-25,0.0,9.129200062574228e-09,6.499720095476391e-09,0.0,-2.128640042009522e-09,0.0,-3.0005700146773506e-09
1,0.000618,0.00387659,0.000278327,3.25261e-19,0.00103873,3.61973e-20,-7.40724e-21,1.82584e-08,-4.2578e-09,-6.00057e-09,1.29997e-08,9.27189e-26,4.52981e-25,0.0,1.8258400125148455e-08,1.2999699983140545e-08,0.0,-4.257800001461476e-09,0.0,-6.000569929831556e-09
2,0.0010815,0.00678404,0.000487072,3.25261e-19,0.00181778,-8.55315e-21,3.19208e-20,3.19522e-08,-7.45077e-09,-1.05014e-08,2.27493e-08,2.14063e-25,-7.98907e-25,0.0,3.19522004410544e-08,2.2749300221391877e-08,0.0,-7.45077000097183e-09,0.0,-1.0501399971829528e-08
3,0.0017767,0.0111452,0.00080019,7.58942e-19,0.00298635,8.55315e-21,-3.19208e-20,5.24927e-08,-1.22421e-08,-1.72507e-08,3.73747e-08,4.28159e-25,-1.59792e-24,0.0,5.249270129681349e-08,3.737470066766946e-08,0.0,-1.2242099889370195e-08,0.0,-1.725069986857619e-08
4,0.0028196,0.017687,0.00126987,-2.27682e-18,0.00473921,-1.65988e-27,-4.44764e-28,8.33037e-08,-1.94275e-08,-2.73762e-08,5.93119e-08,1.2845e-24,-4.79383e-24,0.0,8.33037034908557e-08,5.931190183439128e-08,0.0,-1.9427499831081718e-08,0.0,-2.7376199640549714e-08
5,0.0043839,0.0274996,0.00197438,-4.01155e-18,0.00736849,1.71063e-20,-6.38416e-20,1.2952e-07,-3.02058e-08,-4.25643e-08,9.22178e-08,-1.48338e-24,-7.24799e-24,0.0,1.295200084960868e-07,9.221780428170234e-08,0.0,-3.0205799528282284e-08,0.0,-4.256429908533477e-08
6,0.0067304,0.0422185,0.00303115,-4.01155e-18,0.0113124,1.74418e-19,1.1516e-19,1.98845e-07,-4.63759e-08,-6.53437e-08,1.41578e-07,3.19598e-24,8.5636e-25,0.0,1.9884501978317815e-07,1.4157800998226833e-07,0.0,-4.637589889888716e-08,0.0,-6.534369789701344e-08
7,0.01025,0.0642969,0.00461631,8.13152e-18,0.0172283,2.08631e-19,-1.25227e-20,3.02832e-07,-7.06269e-08,-9.95172e-08,2.15616e-07,2.29126e-25,-1.36391e-23,0.0,3.0283204588421597e-07,2.156160232580362e-07,0.0,-7.062689755255036e-08,0.0,-9.951719504019962e-08
8,0.01553,0.0974145,0.00699405,2.92735e-18,0.0261021,-1.49373e-19,3.02101e-19,4.58812e-07,-1.07003e-07,-1.50778e-07,3.26673e-07,-3.42531e-24,1.27835e-23,0.0,4.5881210519738147e-07,3.266730532747175e-07,0.0,-1.0700299424293291e-07,0.0,-1.5077798865004155e-07
9,0.023449,0.147091,0.0105607,6.39679e-18,0.0394129,6.16725e-19,5.07377e-19,6.92782e-07,-1.61575e-07,-2.2766e-07,4.93263e-07,1.27839e-23,3.42544e-24,0.0,6.927822400193406e-07,4.932631216814087e-07,0.0,-1.6157498694546746e-07,0.0,-2.2765997409468497e-07
10,0.035328,0.221605,0.0159106,-7.48099e-18,0.059379,8.22001e-19,-2.58722e-19,1.04374e-06,-2.43427e-07,-3.4299e-07,7.43145e-07,1.27839e-23,3.42544e-24,0.0,1.0437405446594994e-06,7.43145276205226e-07,0.0,-2.4342697035883987e-07,0.0,-3.429899412266124e-07
11,0.053146,0.333377,0.0239354,-3.52366e-17,0.0893282,1.43291e-18,1.54718e-18,1.57017e-06,-3.66206e-07,-5.15985e-07,1.11797e-06,-4.82329e-29,-1.2924e-29,0.0,1.570171232812001e-06,1.1179706249642152e-06,0.0,-3.662059329112566e-07,0.0,-5.159848668334632e-07
12,0.079874,0.501035,0.0359727,-2.13588e-17,0.134252,1.15921e-18,2.56864e-18,2.35982e-06,-5.50367e-07,-7.75483e-07,1.6802e-06,-4.1105e-23,1.53406e-22,0.0,2.3598227842924757e-06,1.6802014115580022e-06,0.0,-5.503668485395963e-07,0.0,-7.754826992778519e-07
13,0.12,0.752521,0.0540286,-7.48099e-18,0.201637,2.25401e-18,-1.51722e-18,3.54429e-06,-8.26616e-07,-1.16472e-06,2.52354e-06,-1.0888e-28,-2.91744e-29,0.0,3.544296280910686e-06,2.523543184196342e-06,0.0,-8.266156583669471e-07,0.0,-1.1647193217667606e-06
14,0.1801,1.12975,0.0811124,2.02746e-17,0.302715,9.8783e-18,2.71531e-18,5.321e-06,-1.241e-06,-1.74857e-06,3.78857e-06,1.53406e-22,4.11051e-23,0.0,5.321014156622894e-06,3.788577176644381e-06,0.0,-1.2409992299344808e-06,0.0,-1.7485684712381655e-06
15,0.2703,1.69559,0.121738,-7.48099e-18,0.454332,-5.51699e-18,2.96936e-18,7.98605e-06,-1.86256e-06,-2.62435e-06,5.6861e-06,6.26956e-28,1.67992e-28,0.0,7.986081888677887e-06,5.686116165914967e-06,0.0,-1.862558265397496e-06,0.0,-2.6243465564013135e-06
16,0.4056,2.54435,0.182676,4.92119e-16,0.681756,-3.36327e-19,-2.16935e-20,1.19836e-05,-2.79488e-06,-3.93804e-06,8.53236e-06,2.19228e-22,-8.18169e-22,0.0,1.1983671803550422e-05,8.532396400751097e-06,0.0,-2.7948760943363737e-06,0.0,-3.938032245964784e-06
17,0.6086,3.81748,0.274083,3.81097e-16,1.02289,-3.36325e-19,-2.16927e-20,1.79799e-05,-4.19337e-06,-5.90853e-06,1.28018e-05,9.49301e-23,4.63893e-22,0.0,1.79800616393333e-05,1.2801881943413917e-05,0.0,-4.1933612078270954e-06,0.0,-5.908512544672284e-06
18,0.913,5.72716,0.411192,4.92119e-16,1.53459,3.23501e-17,8.73662e-18,2.69743e-05,-6.2911e-06,-8.86425e-06,1.92058e-05,4.09074e-22,1.09611e-22,0.0,2.697466380974234e-05,1.920598443261312e-05,0.0,-6.291080211107136e-06,0.0,-8.864210712666853e-06
19,1.37,8.59165,0.616853,-1.28424e-15,2.30213,-3.36733e-19,-2.18022e-20,4.04657e-05,-9.43765e-06,-1.32978e-05,2.88117e-05,4.38461e-22,-1.63636e-21,0.0,4.0466518747450664e-05,2.8812115061116472e-05,0.0,-9.4376054655676e-06,0.0,-1.3297711584647764e-05
20,2.055,12.8883,0.925338,-5.059e-15,3.45341,6.94144e-17,1.1511e-18,6.07025e-05,-1.41574e-05,-1.99479e-05,4.32204e-05,-7.0378e-26,-1.88577e-26,0.0,6.070434243410361e-05,4.322133401490902e-05,0.0,-1.4157299784489652e-05,0.0,-1.994770104196686e-05
21,3.082,19.3331,1.38805,-2.81516e-14,5.18029,7.817e-17,-3.15365e-17,9.10568e-05,-2.12368e-05,-2.99229e-05,6.48327e-05,8.76832e-22,-3.2728e-21,0.0,9.106094579625079e-05,6.483480168495426e-05,0.0,-2.123657450070482e-05,0.0,-2.992245231447921e-05
22,4.623,116.413,8.35811,-1.03265e-09,31.1929,9.83292e-16,7.71529e-16,0.000548295,-0.000127877,-0.000180179,0.000390388,3.49743e-21,-1.3096e-20,0.0,0.0005484453411794821,0.0003904642113123913,0.0,-0.00012786882408488687,0.0,-0.00018016276873877857
23,6.935,262.609,18.8545,-9.04826e-07,70.3658,1.26247e-15,-2.74743e-16,0.00123686,-0.000288468,-0.000406453,0.000880648,1.40118e-20,-5.23908e-20,0.0,0.0012376252267900512,0.0008810358843047705,0.0,-0.0002884263971069112,0.0,-0.00040637040916957634
24,10.03,446.441,32.0929,0.00246582,119.702,-0.0118193,-0.00316522,0.00215605,-0.000511253,-0.000723409,0.00153874,-1.52496e-07,-4.08948e-08,5.8852e-05,0.0021583759471202058,0.0015399244678453439,-1.5249598839250922e-07,-0.0005111223324539838,-4.0894799213653243e-08,-0.0007231474027937779
25,13.12,468.018,33.7939,8.72009e-05,125.763,-0.121397,-0.0324842,0.00307237,-0.000854935,-0.00125123,0.00223591,-2.19396e-06,-5.95547e-07,0.000956955,0.0030770945660076876,0.002238411510800953,-2.193957593266127e-06,-0.0008545696471978781,-5.955468226348515e-07,-0.0012504475381240887
26,16.21,485.784,35.1933,7.87417e-05,130.754,-0.210929,-0.0564144,0.00398762,-0.00120104,-0.00178347,0.00293364,-4.45856e-06,-1.21541e-06,0.00187392,0.003995581135108672,0.0029379473328496886,-4.458550060593147e-06,-0.0012003190401218555,-1.21540926134589e-06,-0.0017818805624245648
27,19.3,500.927,36.3855,3.17001e-05,135.008,-0.285762,-0.076399,0.00490183,-0.00154867,-0.0023186,0.00363164,-6.91831e-06,-1.89191e-06,0.00280355,0.004913863622898029,0.003638242394632174,-6.918286068580137e-06,-0.001547471429425351,-1.8919082103163731e-06,-0.0023159141232456104
28,22.39,514.155,37.4261,1.24533e-05,138.722,-0.349706,-0.093463,0.00581501,-0.00189729,-0.00285569,0.00432973,-9.55171e-06,-2.61845e-06,0.00374217,0.005831949990136476,0.004339116823517397,-9.55166438254551e-06,-0.0018954912830702053,-2.618446571900357e-06,-0.002851616395884715
29,25.48,525.918,38.351,3.37566e-06,142.023,-0.405323,-0.108296,0.00672718,-0.00224657,-0.00339415,0.00502776,-1.23392e-05,-3.38918e-06,0.00468742,0.006749858300524769,0.005040420394224032,-1.233912387232916e-05,-0.0022440483503251007,-3.389174256684946e-06,-0.0033883963842744613
30,28.57,536.524,39.1845,-1.83695e-06,145.0,-0.454398,-0.121376,0.00763833,-0.00259628,-0.00393357,0.00572565,-1.52636e-05,-4.19901e-06,0.0056377,0.00766757645987548,0.005742072862854997,-1.526348351188478e-05,-0.002592912579966189,-4.1990011842019115e-06,-0.003925843647563543
31,31.66,546.192,39.9439,-5.50057e-06,147.712,-0.498214,-0.133049,0.0085485,-0.00294627,-0.00447366,0.00642333,-1.831e-05,-5.04361e-06,0.00659187,0.00858514276526079,0.006444003825374356,-1.830983237294248e-05,-0.0029419340059251287,-5.043597281040313e-06,-0.004463668088793171
32,34.75,555.083,40.6421,-8.56847e-06,150.206,-0.537722,-0.143569,0.00945767,-0.00329642,-0.00501422,0.00712073,-2.14655e-05,-5.91923e-06,0.00754908,0.009502535089105812,0.007146142681003109,-2.1465269617770844e-05,-0.003290992772703061,-5.919212481386715e-06,-0.00500166978417238
33,37.84,563.32,41.2887,-1.14627e-05,152.516,-0.573642,-0.153131,0.0103659,-0.00364665,-0.00555509,0.00781782,-2.47193e-05,-6.8227e-06,0.00850871,0.010419812062728795,0.007848458945987291,-2.471899448064363e-05,-0.0036400090467518798,-6.8226767254708776e-06,-0.0055396890186883985
34,40.93,570.998,41.8912,-1.43796e-05,154.669,-0.606535,-0.161883,0.0112731,-0.00399688,-0.00609615,0.00851455,-2.80617e-05,-7.75128e-06,0.00947026,0.011336880835731256,0.008550901880906236,-2.806130627419634e-05,-0.003988903106233899,-7.751249958887207e-06,-0.006077606178696016
35,44.02,578.192,42.4557,-1.7412e-05,156.686,-0.63684,-0.169944,0.0121794,-0.00434707,-0.00663728,0.00921089,-3.14845e-05,-8.70258e-06,0.0104333,0.0122538709221236,0.009253440790506273,-3.148400436836507e-05,-0.004337635167451115,-8.702542132699165e-06,-0.006615301908898585
36,47.11,584.964,42.9869,-2.06026e-05,158.584,-0.664912,-0.177408,0.0130847,-0.00469717,-0.00717843,0.00990682,-3.49805e-05,-9.67456e-06,0.0113976,0.013170679282158204,0.009956054994349595,-3.4979888189456965e-05,-0.004686155549326498,-9.674513201551882e-06,-0.007152726611466376
37,50.2,591.363,43.4889,-2.39701e-05,160.378,-0.691039,-0.184353,0.013989,-0.00504715,-0.00771952,0.0106023,-3.85434e-05,-1.06654e-05,0.0123628,0.014087303916797023,0.01065870354216103,-3.8542657212703446e-05,-0.005034434539711752,-1.0665343124771631e-05,-0.007689801026722898
38,53.29,597.431,43.9648,-2.75205e-05,162.079,-0.715457,-0.190843,0.0148924,-0.00539698,-0.00826049,0.0112974,-4.21676e-05,-1.16735e-05,0.0133288,0.015003844326123339,0.01136145662053023,-4.216671095924607e-05,-0.005382442468120807,-1.1673431864922534e-05,-0.008226465902174795
39,56.38,603.202,44.4174,-3.12531e-05,163.696,-0.738363,-0.196929,0.0157949,-0.00574664,-0.00880131,0.0119919,-4.58482e-05,-1.26975e-05,0.0142953,0.015920298783496545,0.01206409111373885,-4.584714898736575e-05,-0.005730159648350108,-1.2697419387142084e-05,-0.008762691850957016
40,59.47,608.706,44.8491,-3.51642e-05,165.239,-0.759923,-0.202656,0.0166964,-0.00609611,-0.00934194,0.012686,-4.95808e-05,-1.37361e-05,0.0152623,0.016836563877286936,0.012766808649288919,-4.957957089246623e-05,-0.006077566421799352,-1.3736005660236472e-05,-0.009298439643147915
